rep,trat,massa,individuo,tempo
10,juntos,podisi,2,15
10,juntos,podisi,3,15
10,juntos,podisi,4,NA
10,juntos,ovo_sadio,1,15
10,juntos,ovo_sadio,2,16
10,juntos,ovo_sadio,3,16
10,juntos,ovo_sadio,4,NA
1,controle,podisi,1,NA
1,controle,podisi,2,NA
1,controle,podisi,3,NA
1,controle,podisi,4,NA
1,controle,basalis,1,NA
1,controle,basalis,2,NA
1,controle,basalis,3,NA
1,controle,basalis,4,NA
2,controle,podisi,1,NA
2,controle,podisi,2,NA
2,controle,podisi,3,NA
2,controle,podisi,4,NA
2,controle,basalis,1,14
2,controle,basalis,2,15
2,controle,basalis,3,NA
2,controle,basalis,4,NA
3,controle,podisi,1,15
3,controle,podisi,2,NA
3,controle,podisi,3,NA
3,controle,podisi,4,NA
3,controle,basalis,1,14
3,controle,basalis,2,15
3,controle,basalis,3,NA
3,controle,basalis,4,NA
4,controle,podisi,1,13
4,controle,podisi,2,14
4,controle,podisi,3,14
4,controle,podisi,4,14
4,controle,basalis,1,13
4,controle,basalis,2,14
4,controle,basalis,3,NA
4,controle,basalis,4,NA
5,controle,podisi,1,14
5,controle,podisi,2,14
5,controle,podisi,3,NA
5,controle,podisi,4,NA
5,controle,basalis,1,13
5,controle,basalis,2,NA
5,controle,basalis,3,NA
5,controle,basalis,4,NA
6,controle,podisi,1,15
6,controle,podisi,2,16
6,controle,podisi,3,NA
6,controle,podisi,4,NA
6,controle,basalis,1,NA
6,controle,basalis,2,NA
6,controle,basalis,3,NA
6,controle,basalis,4,NA
7,controle,podisi,1,14
7,controle,podisi,2,14
7,controle,podisi,3,14
7,controle,podisi,4,14
7,controle,basalis,1,13
7,controle,basalis,2,13
7,controle,basalis,3,NA
7,controle,basalis,4,NA
8,controle,podisi,1,13
8,controle,podisi,2,14
8,controle,podisi,3,14
8,controle,podisi,4,14
8,controle,basalis,1,13
8,controle,basalis,2,14
8,controle,basalis,3,NA
8,controle,basalis,4,NA
9,controle,podisi,1,13
9,controle,podisi,2,14
9,controle,podisi,3,17
9,controle,podisi,4,NA
9,controle,basalis,1,13
9,controle,basalis,2,13
9,controle,basalis,3,16
9,controle,basalis,4,NA
10,controle,podisi,1,13
10,controle,podisi,2,14
10,controle,podisi,3,NA
10,controle,podisi,4,NA
10,controle,basalis,1,NA
10,controle,basalis,2,NA
10,controle,basalis,3,NA
10,controle,basalis,4,NA
