bloco,rep,trat,emerg,tempo,censura
2,10,Bas,5,17,1
2,10,Bas,6,23,0
2,10,Bas,7,23,0
2,10,Bas,8,23,0
2,10,Bas,9,23,0
2,10,Bas,10,23,0
2,10,Bas,11,23,0
2,10,Bas,12,23,0
2,10,Bas,13,23,0
2,10,Bas,14,23,0
2,10,Bas,15,23,0
2,10,Bas,16,23,0
2,10,Bas,17,23,0
2,10,Bas,18,23,0
2,10,Bas,19,23,0
2,10,Bas,20,23,0
2,5,Pod,1,14,1
2,5,Pod,2,16,1
2,5,Pod,3,16,1
2,5,Pod,4,16,1
2,5,Pod,5,16,1
2,5,Pod,6,16,1
2,5,Pod,7,16,1
2,5,Pod,8,16,1
2,5,Pod,9,16,1
2,5,Pod,10,23,0
2,5,Pod,11,23,0
2,5,Pod,12,23,0
2,5,Pod,13,23,0
2,5,Pod,14,23,0
2,5,Pod,15,23,0
2,5,Pod,16,23,0
2,5,Pod,17,23,0
2,5,Pod,18,23,0
2,5,Pod,19,23,0
2,5,Pod,20,23,0
2,6,Pod,1,16,1
2,6,Pod,2,16,1
2,6,Pod,3,16,1
2,6,Pod,4,16,1
2,6,Pod,5,16,1
2,6,Pod,6,16,1
2,6,Pod,7,16,1
2,6,Pod,8,16,1
2,6,Pod,9,16,1
2,6,Pod,10,17,1
2,6,Pod,11,17,1
2,6,Pod,12,17,1
2,6,Pod,13,17,1
2,6,Pod,14,17,1
2,6,Pod,15,18,1
2,6,Pod,16,23,0
2,6,Pod,17,23,0
2,6,Pod,18,23,0
2,6,Pod,19,23,0
2,6,Pod,20,23,0
2,7,Pod,1,15,1
2,7,Pod,2,16,1
2,7,Pod,3,16,1
2,7,Pod,4,16,1
2,7,Pod,5,16,1
2,7,Pod,6,16,1
2,7,Pod,7,16,1
2,7,Pod,8,16,1
2,7,Pod,9,16,1
2,7,Pod,10,17,1
2,7,Pod,11,17,1
2,7,Pod,12,17,1
2,7,Pod,13,23,0
2,7,Pod,14,23,0
2,7,Pod,15,23,0
2,7,Pod,16,23,0
2,7,Pod,17,23,0
2,7,Pod,18,23,0
2,7,Pod,19,23,0
2,7,Pod,20,23,0
2,8,Pod,1,15,1
2,8,Pod,2,16,1
2,8,Pod,3,16,1
2,8,Pod,4,16,1
2,8,Pod,5,16,1
2,8,Pod,6,16,1
2,8,Pod,7,16,1
2,8,Pod,8,16,1
2,8,Pod,9,17,1
2,8,Pod,10,23,0
2,8,Pod,11,23,0
2,8,Pod,12,23,0
2,8,Pod,13,23,0
2,8,Pod,14,23,0
2,8,Pod,15,23,0
2,8,Pod,16,23,0
2,8,Pod,17,23,0
2,8,Pod,18,23,0
2,8,Pod,19,23,0
2,8,Pod,20,23,0
2,9,Pod,1,15,1
2,9,Pod,2,15,1
2,9,Pod,3,16,1
2,9,Pod,4,16,1
2,9,Pod,5,16,1
2,9,Pod,6,16,1
2,9,Pod,7,16,1
2,9,Pod,8,16,1
2,9,Pod,9,16,1
2,9,Pod,10,16,1
2,9,Pod,11,16,1
2,9,Pod,12,16,1
2,9,Pod,13,23,0
2,9,Pod,14,23,0
2,9,Pod,15,23,0
2,9,Pod,16,23,0
2,9,Pod,17,23,0
2,9,Pod,18,23,0
2,9,Pod,19,23,0
2,9,Pod,20,23,0
2,10,Pod,1,15,1
2,10,Pod,2,16,1
2,10,Pod,3,16,1
2,10,Pod,4,16,1
2,10,Pod,5,16,1
2,10,Pod,6,16,1
2,10,Pod,7,17,1
2,10,Pod,8,17,1
2,10,Pod,9,17,1
2,10,Pod,10,18,1
2,10,Pod,11,18,1
2,10,Pod,12,19,1
2,10,Pod,13,23,0
2,10,Pod,14,23,0
2,10,Pod,15,23,0
2,10,Pod,16,23,0
2,10,Pod,17,23,0
2,10,Pod,18,23,0
2,10,Pod,19,23,0
2,10,Pod,20,23,0
2,5,c,1,16,1
2,5,c,2,16,1
2,5,c,3,16,1
2,5,c,4,16,1
2,5,c,5,16,1
2,5,c,6,16,1
2,5,c,7,17,1
2,5,c,8,17,1
2,5,c,9,17,1
2,5,c,10,18,1
2,5,c,11,18,1
2,5,c,12,18,1
2,5,c,13,18,1
2,5,c,14,23,0
2,5,c,15,23,0
2,5,c,16,23,0
